City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
573,Itarema,BR,80.51,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
575,Kismayo,SO,79.12,broken clouds,-0.3582,42.5454,Agan-Hotel
577,Kefamenanu,ID,83.75,scattered clouds,-9.4467,124.4781,Sokowindo Losmen
578,Bulakamba,ID,82.22,overcast clouds,-6.8748,108.9559,Rona
586,Rivadavia,AR,75.67,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
592,Omboue,GA,77.81,overcast clouds,-1.5746,9.2618,Hotel Olako
593,Lewisville,US,79.56,clear sky,33.0462,-96.9942,Best Western Plus Hotel Lewisville Flower Mound
601,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
602,Conakry,GN,78.37,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
608,Cururupu,BR,77.97,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
610,Tolaga Bay,NZ,80.26,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
616,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
624,Yenagoa,NG,78.22,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
630,Axim,GH,78.93,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
639,Blackwater,AU,86.79,clear sky,-23.5833,148.8833,Blackwater Motor Inn
643,Terre-De-Bas,GP,78.66,clear sky,15.8501,-61.6442,Hôtel Bois Joli
652,Ixtapa,MX,78.03,broken clouds,20.7,-105.2,Hotel Plaza Providencia
655,Ternate,ID,83.48,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
656,Corrientes,AR,78.03,clear sky,-27.4806,-58.8341,Gran Hotel Guaraní
665,Muriwai Beach,NZ,79.43,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
668,Pitogo,PH,79.86,heavy intensity rain,13.7847,122.0881,Ricronald
672,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
674,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
677,Otane,NZ,80.38,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
679,Kaele,CM,76.48,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
680,Moindou,NC,89.55,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
691,Mundo Nuevo,MX,76.46,clear sky,18.7,-95.5,
693,Boende,CD,75.07,overcast clouds,-0.2167,20.8667,
695,Nabire,ID,88.0,few clouds,-3.3667,135.4833,Hotel Nusantara Nabire
703,Sao Jose Da Coroa Grande,BR,79.0,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
704,Binabalian,PH,78.33,overcast clouds,16.4202,119.9279,Sundowners Vacation Villas
705,Guatire,VE,84.7,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
709,Manzanillo,CU,75.07,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
